revision ;sentimiento
Vi esta película sin esperar mucho, la compré en un paquete de 5 películas, todas las cuales eran bastante terribles a su manera por menos de cinco dólares, entonces, ¿qué podía esperar? y sabes en qué tenía razón, todos fueron terribles, esta película tiene algunos (y algunos son exagerados) puntos interesantes, la vista ocasional de la videocámara es un buen toque, el baterista es muy parecido a un baterista, es decir, muy molesto y , bueno, en realidad eso es todo, el problema es que es muy aburrido, en lo que solo puedo asumir que fue un intento de generar tensión, no pasa nada y cuando lo hace es completamente tedioso (tenía mi pulgar en el rápido). botón de avance, listo para presionar durante la mayor parte de la película, pero lo intenté) y en serio, el cantante principal de la banda es tan atractivo, porque no mencionan ni la mitad lo hermoso que es, pensé. Se parecía un poco a un suricato, todo esto y ni siquiera he mencionado al asesino, ni siquiera voy a entrar en detalles, simplemente no vale la pena explicarlo. De todos modos, en lo que a mí respecta, Star y London son casi la única razón para ver esto y, con la excepción de London (que en realidad fue bastante divertida), no fue por su talento actoral, ciertamente he visto mucho. peores, pero también he visto mucho mejores. Es mejor evitarlo a menos que esté aburrido de ver cómo se seca la pintura., ;Negativo
"Compré esta película en Blockbuster por $3,00, porque sonaba interesante (un poco al estilo Ranma, con la idea de alguien arrastrando un esqueleto), porque había una chica linda con una minifalda en la espalda, y porque había una pegatina de visualización restringida. Pensé que iba a ser una historia dulce o al menos sincera sobre la mayoría de edad con un extraño toque indie. Estaba 100% equivocado.<br /><br />Habiéndolo visto, me pregunto cómo consiguió la pegatina restringida, ya que apenas hay lenguaje soez, poca violencia y lo más parecido a la desnudez (¡Honestamente! ¡Normalmente no andas esperándolo!) es cuando la chica está en camisón y ves sus bragas (las ves mucho en esta película, porque pase lo que pase, lleva una minifalda de algún tipo). Incluso el humor antirreligioso es manso (y aburrido, caricaturizado, poco sincero, derivativo, poco original y, lo peor de todo, nada divertido; sería mejor simplemente escuchar ""¿Llevaría Jesús un Rolex en su rostro) de Ray Stevens?"" Programa de televisión""). Esto apenas calificaría como PG-13 (no está clasificado), pero Blockbuster se niega a permitir que nadie menor de 17 años lo alquile, como si fuera pornográfico. Cualquier niño pequeño podría entrar allí y alquilar la versión editada de Réquiem por un sueño, pero insisten en que Zack y Reba son peores.<br /><br />Lo es, pero no de esa manera.<br />< br />En cierto modo, esto me preocupa: lo único que podría ofender a la gente es la idea del suicidio al principio. Si alguien necesita ver películas con suicidios retratados honestamente (no ésta, pero sí otras mejores como Las vírgenes suicidas), son los adolescentes. Si ambas películas fueron clasificadas R simplemente por el aspecto del suicidio, entonces tengo pocas posibilidades de convertir una historia que he estado escribiendo en una película PG-13 (los personajes principales tienen once años y medio y doce). El suicidio es una de las tres principales causas de muerte entre adolescentes (creo que es la número 2), por lo que es probable que la mayoría de los adolescentes hayan sido o sean afectados por él.<br /><br />Simplemente diga no a esta película. , aunque. 2/10.,";negativo
La trama trata sobre la muerte de niños pequeños. Hopper es quien tiene que investigar los asesinatos. Durante la película parece que tiene algunos problemas con su hija. Al final atrapan al asesino en serie. Eso es todo. Pero antes de descubrir quién lo hizo, tienes que ver una actuación terrible de todos los actores. Es increíble lo malos que son estos actores, incluido Hopper. Podría seguir así, pero sería una pérdida de tiempo. Simplemente no mires la película. Te lo he advertido.,;negativo
"¿Alguna vez viste una película que perdió la trama? Bueno, para empezar, esto ni siquiera tenía uno.<br /><br />¿Por dónde empezar? ¿Las escenas dolorosamente tediosas de nuestra heroína sentada en la casa sin ningún sentimiento de amenaza o incluso presentimiento creado incluso durante las tormentas aparentemente constantes (que curiosamente nunca se escuchan en la casa: un gran doble acristalamiento)? ¿La casa que aparentemente está a solo unas pocas millas de una ciudad pero que está a varias horas de distancia (?) o la tercera chica que no tiene ningún propósito para la trama excepto proporcionar un asesinato sangriento sorprendentemente rápido justo cuando el tedio se vuelve insoportable? ¿O incluso el comienzo que sugiere una serie de más de 20 asesinatos en toda el área a pesar de que es evidente que el asesino nunca se aventura lejos de la casa? O el extraño ritual con sal y pimienta que resume la falta de dirección inherente a la mayoría de las películas.<br /><br />Agregue una actriz principal que no puede actuar pero que al menos está dispuesta a hacer algo completamente irrelevante. escenas de ducha desnuda y este video es realmente desagradable, pero no de la manera que esperas.<br /><br />Se le dio seguimiento simplemente por haber sido prohibido en el Reino Unido en los años 80 (principalmente debido a un asesinato final sorprendentemente extendido). no ofrece más que curiosidad y un clásico asesinato ""tonto"" (no se preocupe, se telegrafió al menos diez minutos antes).<br /><br />Después de un paseo por el bosque, nuestra víctima llega a una pendiente bastante empinada. pendiente ascendente que obviamente luchan por subir. A mitad de camino ven una figura en la cima vestida de negro y blandiendo una gran guadaña. ¿Qué hacen? ¿Deslizarse hacia abajo y correr como el resto de nosotros? No, por supuesto que no: luchan por llegar a la cima y se paran convenientemente erguidos frente al arma homicida.<br /><br />Realmente ES solo una película como dicen...,";negativo
Bien, entonces esta serie toma la ruta de '¡aquí vamos de nuevo!' Semana tras semana, el personaje de David Morse ayuda a su vehículo, que está en un aprieto, pero ¿¡qué hay de malo en eso!? David Morse es uno de los mejores actores de carácter que existen, y ciertamente el más genial, y tenerlo en una serie creada por David Koepp, un gran escritor, ¡es el paraíso!<br /><br />Debido a la falta de A muchos les encanta este programa, no lo veo en una serie de temporada, pero ¿nunca se sabe? La cantidad de basura que ha llegado más allá de eso me desconcierta. ¡¡¡Esperemos que algo bueno pueda superar la primera serie!!!, ;positivo
"Después de sentarnos frente a este montón de estiércol, mi esposo y yo nos preguntamos si en realidad era el producto de un experimento para ver si un programa de computadora podía producir una película. Era así de apático y formulado. Pero la propaganda estadounidense que te arrojan a la cara a lo largo de la película demuestra, de manera decepcionante, que es obra de humanos. Llámenme teórico de la conspiración, pero citas como ""Tenemos que robar la Declaración de Independencia para protegerla"" parecen formas de justificar acciones como la invasión de Irak, etc. El hecho de que Nicholas Cage arroje líneas como ""Yo nunca utilizar la Declaración de Independencia como moneda de cambio"" con una cara seria nos hizo preguntarnos a mí y a mi marido si todo el reparto tomaba Valium antes de rodar cada escena. El ""razonamiento"" detrás de cada giro de la trama y cada nueva ""pista"" es verdaderamente ridículo e imposible de seguir. Y también hay una trama adicional de misoginia, con la Dra. Como-se-llame siendo reprendida por todos los involucrados por ""nunca callarse"". Claramente está en la película solo por la apariencia, pero sintieron la necesidad de abofetear a un ""Dr."" título de su personaje para darle algo de gravedad. En un momento, el personaje de Cage dice: ""¿Nunca te callas?"" y la cámara la enfoca mirándose las manos con puchero, como si fuera una niña. Realmente grotesco. El único beneficio de esta película es que es tan sorprendentemente mala que te hace reír un poco. Lo realmente aterrador es que la mayoría de las personas que vieron la película con nosotros parecieron disfrutarla. Espeluznante..., ";negativo
"Tenía todos los clichés de películas de este tipo y nada de sustancia. La trama no llegó a ninguna parte y al final de la película me sentí como un tonto por verla. La producción fue buena; sin embargo, el guión y la actuación eran de calidad de película B. El casting fue pobre porque había buenos actores mezclados con actores de mala calidad. Los buenos actores no se defendieron ni animaron a los demás. <br /><br />Esta película no merece más palabras, pero diré más para cumplir con el requisito mínimo de diez líneas. James Wood y Cuba Gooding, Jr. interpretan caricaturas de sí mismos en otras películas. <br /><br />Si buscas entretenimiento sin sentido, todavía no recomendaría esta película.,";negativo
"Esta película está basada en el libro ""A Many Splendored Thing"" de Han Suyin y aborda cuestiones de relaciones raciales entre asiáticos y blancos, un tema que surge de las experiencias personales de Han como euroasiático que creció en China. Ese trasfondo, y los hermosos escenarios de Hong Kong, le dan a esta historia de amor una atmósfera única y bastante atrevida para su época.<br /><br />Aparte de eso, la historia es un romance estereotipado con una canción memorable que quizás sea más recordado que la película misma. La bella Jennifer Jones luce el papel y ofrece una actuación maravillosa, nominada al Oscar, como una doctora mestiza durante la llegada del comunismo a China continental. William Holden nunca tuvo mejor aspecto interpretando un papel romántico como periodista que cubría regiones del mundo devastadas por la guerra. La actuación es de primera categoría y la química entre los dos amantes proporciona algunos momentos genuinos de afecto en la pantalla grande que seguramente derretirán los corazones de aquellos con inclinaciones románticas.<br /><br />La cinematografía realmente resalta el Hong Kong de los cincuenta. , especialmente la cima de la colina que domina el puerto donde los dos amantes pasan sus momentos más íntimos. El final es un auténtico desgarrador. Algunos pueden considerar los romances sentimentales pasados ??de moda, pero, para aquellos que disfrutan de las historias de amor clásicas de Hollywood, este es un ejemplo brillante.";positivo
"De todas las películas que he visto, ésta, The Rage, tiene que ser una de las peores hasta ahora. La dirección, la LÓGICA, la continuidad, los cambios de guión y diálogos me hicieron gritar de dolor. ""¿Cómo se le puede ocurrir a alguien algo tan malo""? Gary Busey es conocido por sus películas ""B"", pero esta es una película ""W"" segura. (W=desperdicio).<br /><br />Tomemos por ejemplo: alrededor de dos docenas de agentes del FBI y de la ley local rodean una casa rodante con un jeep wagoneer. Dentro del jeep está MA y está ""confundido"" en cuanto a por qué están todos los policías. En cuestión de segundos se produce un gran tiroteo y MA muere inmediatamente. La policía dispara contra el jeep y Gary y compañía disparan contra ellos. Los policías caen como fichas de dominó y el jeep con Gary da vueltas en círculos y no recibe ni una sola bala o perdigón. MA muere y Gary parece no haberse dado cuenta. Maldita sea, ese tipo es duro. Verdaderamente un milagro, desde que el arma de seis tiros tenía 300 balas no había habido tal milagro. ";Negativo
"Había oído cosas buenas sobre ""Estados de Gracia"" y entré con la mente abierta. Pensé que ""El ejército de Dios"" estaba bien y pensé que tal vez Dutcher había mejorado y madurado como cineasta. La película comenzó con algunas actuaciones inestables y pensé: ""Bueno, tal vez mejore"". Desafortunadamente, nunca lo hizo. La película comienza presentando a dos ancianos, misioneros mormones, y parece que el público llegará a conocerlos y a preocuparse por ellos. En cambio, la historia degenera en una serie altamente improbable de eventos desafortunados que resaltan la desobediencia flagrante de los misioneros (algo que innegablemente existe, pero rara vez al nivel que retrata Dutcher) y se vuelve casi ridículo.<br /><br />La única historia de Dutcher El éxito en esta película es su exitosa alienación de su público objetivo. Al retratar de manera poco realista e inexacta las vidas de los misioneros mormones, Dutcher no logra más que enojar a su audiencia predominantemente mormona. La película no refleja en modo alguno la realidad. Las misiones no se parecen en nada a lo que muestra Dutcher (habiendo servido en una misión mormona, puedo dar fe de este hecho) y la vida de las pandillas en California ciertamente contiene un lenguaje mucho más explícito que la leve vulgaridad ocasional.<br /><br />La conclusión, que Supongo que se suponía que debía conmover a la audiencia e inspirarlos a creer que el perdón está disponible para todos, fue increíble (vamos, toda la misión se reúne para ver a este anciano enviado a casa, y la madre y la niña están de pie. ¡uno al lado del otro!) y cursi. La próxima vez, Dutcher, intenta hacer una película con la que ALGUIEN pueda identificarse.,";negativo
Esta película me impactó. Cuando tenía 29 años, recuerdo los años 80 y a mi padre trabajando en una fábrica. Pensé que si también trabajaba duro, si tenía orgullo y nunca me daba por vencido, yo también podría tener el sueño americano, la casa, algunos niños, un auto, todo para llamarlo mío. Sin embargo, he notado que sin un título en algo (a diferencia de mi padre que lo dejó en noveno grado) y un agudo sentido de avaricia y pereza, no se puede llegar a ninguna parte.<br /><br />Me gustaría saber si alguien tiene esta pelicula en DVD o VHS. Está hecho para televisión y lo vi hace una hora. ¡No puedo encontrarlo por ninguna parte! Me encantaría mostrarles esto a mis amigos, mis pseudoamigos, familiares y otros parientes, ver qué piensan y recordarles que alguna vez los estadounidenses Trabajamos por sentir honor y que estábamos orgullosos de lo que ¡¡logrado!! Creo que el sentimiento todavía está ahí, pero en una fuerte espiral descendente con tantas cosas que se hacen en el extranjero..., .;positivo
Como descargo de responsabilidad, he visto la película 5 o 6 veces en los últimos 15 años y apenas vi el musical esta semana. Esto me permitió juzgar la película sin dejarme contaminar por lo que estaba o no en el musical (sin embargo, me contaminó cuando vi el musical :) ) <br /><br />De hecho, creo que Michael Douglas trabajó bastante bien. en ese papel, junto con Kasey. Creo que su escena 'Déjame bailar para ti' es una de las mejores partes de la película, una adición que vale la pena en comparación con el musical. Los bailarines y cantos de la película son muy superiores a los del musical, así como el elenco que es al menos 10 veces más grande (más fácil de hacer en la película, por supuesto). La decoración, la iluminación, el baile y el canto también son muy superiores en la película, lo cual era de esperar y, de hecho, se cumplió. <br /><br />Las canciones que tenían en común con el musical están mejor hechas en la película, las nuevas son bastante buenas y, en mi opinión, toda la película ofrece más que el musical, especialmente en comparación con una musical que tiene pocos decorados. El único punto malo de la película son los cortes obvios entre los actores hablando y los cantantes doblados durante las partes de canto de algunos de los personajes, pero su baile es impecable y el producto final fue más agradable que el musical ;positivo.
Protocol es una película inverosímil cuya única gracia salvadora es que está protagonizada por Goldie Hawn junto a un buen reparto de actores secundarios. La historia gira en torno a una tonta camarera que se hace famosa después de, sin darse cuenta, salvar la vida de un dignatario árabe. La historia va cuesta abajo a mitad de la película y el encanto de Goldie simplemente no salva esta película. A menos que seas fanático de Goldie Hawn, no te esfuerces por ver esta película. ;Negativo
"Cómo se podría clasificar esta película como drama, no tengo idea. Si yo fuera John Voight y Mary Steenburgen, intentaría borrar esto de mi CV. Era tan históricamente preciso como Xena y Hércules. Abraham y Moisés se fusionaron en Noé. Lot, el sobrino de Abraham, aparece miles de años antes de que él hubiera nacido. Los cananeos vagaron por la tierra... ¿en serio? ¿Qué estaban pensando los guionistas? ¿Fue simplemente ignorancia (""Recuerdo algo sobre Noé y los animales, Lot y los cananeos y todo eso de la Escuela Dominical"") o estaban tratando de ofender al mayor número posible de personas en el planeta, desde cristianos, judíos y musulmanes? , a historiadores, arqueólogos, geólogos, psicólogos, lingüistas... en fin, ¿alguien no se ofendió? ¡Cualquiera que tuviera un mínimo de gusto se habría estremecido ante este!, ";negativo
Fulci giallo promedio (y sorprendentemente manso), lo que significa que sigue siendo bastante malo según los estándares normales, pero redimido por su sólida construcción y algunos toques agradables, como un elegante giro temporal en los temas de visiones y clarividencia.<br /><br />Las conocidas debilidades del género están a pleno rendimiento: diálogos banales, actuaciones rígidas, argumentos ilógicos. Y el final se prolonga demasiado, mientras que el desenlace resulta más bien aburrido o debería decir: flojo.<br /><br />Sin embargo, el manejo irónico de Fulci de las normas del giallo es divertido. Pistas amarillas por donde se mire.<br /><br />3 de cada 10 asesinos cojos,;negativo
"Return to the 36th Chamber es una de esas películas clásicas de Kung-Fu que Shaw produjo allá por los años 70 y 80, cuyo género equivale a los spaghetti westerns de Hollywood, y cuyo protagonista es Gordon Liu, la contraparte del western Clint Eastwood. Remasterizada digitalmente y con una nueva impresión realizada para el Fantastic Film Fest, esta ""presentada en Shaw Scope"", como en los viejos tiempos.<br /><br />Esta película es una historia sencilla del bien contra el mal, contada en 3 actos, que resumen más o menos la narrativa de las películas de artes marciales de esa época.<br /><br />El primer acto establece la premisa. Los trabajadores de una fábrica de tintes de una pequeña aldea están descontentos con su suerte y los mafiosos manchúes entrantes les recortan los salarios en un 20%. No pueden hacer mucho con respecto a su explotación porque ninguno de ellos tiene habilidades en artes marciales para enfrentarse a los gánsteres y a su jefe. Al principio tuvieron un pequeño éxito al conseguir que Liu se hiciera pasar por un monje Shaolin altamente cualificado (una de las mejores secuencias de comedia), pero su entusiasmo quedó expuesto cuando superaron el límite de credibilidad haciéndose pasar por uno demasiadas veces. br />El segundo acto muestra al protagonista queriendo vengarse de la mafia. Sin embargo, sin verdaderas artes marciales, se embarca en un viaje al Templo Shaolin, para intentar infiltrarse y aprender artes marciales a escondidas. Después de algunos momentos de payasadas, finalmente es aceptado por el abad (¡a quien se hizo pasar!), pero está decepcionado con los métodos de enseñanza, algo así como el estilo del Sr. Miyagi en Karate Kid, pero en lugar de pintar vallas, levanta andamios por todo el templo. . Nada puede derribar a un buen hombre, y él, sin saberlo, desarrolla fuerza, resistencia y aprende kung-fu de una manera poco ortodoxa.<br /><br />El tercer acto es donde comienza la fiesta de la lucha. Con efectos de sonido cursis, cada falta de contacto obvia en la película recibe el tratamiento de máximo impacto. Pero es bastante refrescante ver las escenas de lucha aquí, con sus tomas de gran angular para resaltar la claridad y el detalle entre los compañeros de entrenamiento, y el uso de cámara lenta solo para mostrar acrobacias en diferentes ángulos. Puede que la velocidad de las peleas te parezca un poco lenta, con algunas pausas entre movimientos, pero como Yuen Wo Ping y su estilo se utilizan hasta la saciedad en las películas de Hollywood, ¡seguro que ya no hacen escenas de lucha como antes! Regreso a la cámara 36 se repetirá el lunes, así que, si estás dispuesto a hacer un viaje nostálgico al pasado, ¿a qué estás esperando?,";positivo
Bela Lugosi apareció en varias de estas películas de bajo presupuesto para Monogram Studios en la década de 1940 y The Corpse Vanishes es una de las mejores.<br /><br />Bela interpreta a un científico loco que secuestra a novias jóvenes, las mata y luego las extrae. líquido de sus cuerpos para poder mantener joven a su anciana esposa. Después de que un periodista y un médico pasan la noche en su casa y descubren que él es el responsable de la muerte de las novias, a la mañana siguiente denuncian estos asesinatos a la policía y el científico loco recibe un disparo y cae muerto poco después.<br />< br />En esta película lo tienes casi todo: los asistentes del científico son una vieja bruja, un jorobado y un enano (sus hijos), una tormenta y pasajes espeluznantes en la casa de Bela. Bela y su esposa descubren que en la película duermen mejor en ataúdes que en camas. <br /><br />Vale la pena ver The Corpse Vanishes, especialmente para los fanáticos de Bela Lugosi. Muy divertido.<br /><br />Calificación: 3 estrellas de 5, ;positivo
"No puedo creer que haya disfrutado esto tanto como lo hice. Las historias de antología estuvieron mejor que la media, pero la historia de enlace y su final sorpresa me engancharon. Muchas caras conocidas te harán preguntarte ""¿dónde las he visto antes?"" Olvídese del tiempo de ejecución que figura en la cinta de New Line, esto no son 103 minutos, según el temporizador de mi VCR y IMDB. Space Maggot apaga la fogata a su manera especial y la eleva a un 8., ";positivo

